Recipe,Spirits1,Spirits1c,Spirits1am,S1al,Spirits2,Spirits2c,Spirits2am,S2al,Spirits3,Spirits3c,Spirits3am,S3al,Lime Juice,Lime Juicec,Lime Juiceam,Juice1,Juice1c,Juice1am,J1sw,Juice2,Juice2c,Juice2am,J2sw,Syrup1,Syrup1c,Syrup1am,S1sw,Syrup2,Syrup2c,Syrup2am,S2sw,Bitter1,Bitter1c,Bitter1am,Bitter2,Bitter2c,Bitter2am,Other1,Other1c,O1sw,Other1am,Other2,Other2c,Other2am,O2sw,Other3,Other3c,Other3am,Liqueur 1,Liqueur 1c,Liqueur 1am,L1sw,L1al,Liqueur 2,Liqueur 2c,Liqueur 2am,L2sw,L2al,Liqueur 3,Liqueur 3c,Liqueur 3am,L3sw,L3al,Ice,Operation,OPindex,Decoration,Amount,Sour,Alcohol,Bitter,Glass,Flavor1,Flavor2,Flavor3,Flavor4,Flavor5
Larchmont,Rum,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,Simple Syrup,ffffe6,10,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Grand Marnier,ffffe6,20,0.2,0.4,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll,110,-0.090909091,0.145454545,0,Martini-Glass,Orange,n,n,n,n
Sidecar,Brandy,54241f,45,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,Simple Syrup,ffffe6,5,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Cointreau,ffffe6,15,0.2,0.4,Grand Marnier,f5f5f5,5,0.2,0.4,,,0,0,0,Regular,Shake,0.5,Orange Roll,90,-0.144444444,0.144444444,0,Martini-Glass,Orange,n,n,n,n
Daiquiri,Rum,ffffff,60,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,Simple Syrup,ffffe6,10,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll,85,-0.105882353,0.141176471,0,Martini-Glass,n,n,n,n,n
Royal Smile,Apple Brandy,54241f,45,0.4,Gin,f5f5f5,15,0.47,,,0,0,Lime Juice,f7ffd1,15,,,0,0,,,0,0,Grenadine Syrup,f54842,15,0.67,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll,90,-0.055,0.139166667,0,Martini-Glass,Apple,n,n,n,n
Dr. Blinker,Rye Whiskey,54241f,60,0.45,,,0,0,,,0,0,Lime Juice,,0,Grapefruit,f7cde0,30,0.65,,,0,0,Raspberry Syrup,9763b0,7.5,0.67,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll,97.5,0.251538462,0.138461538,0,Martini-Glass,Grapefruit,Raspberry,n,n,n
X.Y.Z. ,Rum,ffffff,55,0.4,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,Simple Syrup,ffffe6,10,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Cointreau,ffffe6,10,0.2,0.4,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Lemon Roll,95,-0.126315789,0.136842105,0,Martini-Glass,Orange,n,n,n,n
Algonquin,Rye Whiskey,54241f,60,0.45,,,0,0,,,0,0,Lime Juice,,0,Pineapple,fcf67c,30,0.6,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Dry Vermouth,ffffff,30,0.04,0.18,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Maraschino cherry,120,0.16,0.135,0,Martini-Glass,Pineapple,Herb,n,n,n
Chaplin,Gin,ffffe6,30,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,20,,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Cherry Brandy,54241f,30,0.11,0.24,,,0,0,0,,,0,0,0,Regular,Shake,0.5,,80,-0.20875,0.133125,0,Martini-Glass,Cherry,n,n,n,n
Bronx,Gin,ffffe6,60,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,10,Orange,ed9d6c,20,0.58,,,0,0,Simple Syrup,ffffe6,10,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,Sweet Vermouth,c73a4a,10,0.15,0.15,Dry Vermouth,f5f5f5,10,0.04,0.18,,,0,0,0,Regular,Shake,0.5,Orange Roll,120,0.079166667,0.13125,0,Martini-Glass,Orange,Herb,n,n,n
Southside,Gin,ffffe6,45,0.47,,,0,0,,,0,0,Lime Juice,f7ffd1,22,,,0,0,,,0,0,Simple Syrup,ffffe6,15,0.6,,,0,0,,,0,,,0,,,0,0,,,0,0,,,0,,,0,0,0,,,0,0,0,,,0,0,0,Regular,Shake,0.5,Mint Leaves,82,-0.158536585,0.128963415,0,Martini-Glass,n,n,n,n,n
